feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,attribute: The primary city serving as the seat of government for a state is the capital city, government,11,73.73577117919922,0.6565266769520677,semantic,"[{""token"": "" government"", ""index"": 11, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,government,"[{""tk"": ""government"", ""act"": 73.73577117919922}, {""tk"": ""city"", ""act"": 68.99917602539062}, {""tk"": ""state"", ""act"": 62.418968200683594}, {""tk"": ""capital"", ""act"": 52.33393859863281}, {""tk"": ""located"", ""act"": 41.876251220703125}, {""tk"": ""serving"", ""act"": 31.4293155670166}, {""tk"": ""containing"", ""act"": 27.732948303222656}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}]"
0_39122,0,39122,attribute: The primary city serving as the seat of government for a state is the capital city,:,2,53.89897918701172,0.7487175226164874,functional,"[{""token"": "" primary"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""attribute"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""of"", ""act"": 40.620758056640625}, {""tk"": ""the"", ""act"": 38.37458801269531}, {""tk"": ""in"", ""act"": 34.789676666259766}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_18753,0,18753,attribute: The primary city serving as the seat of government for a state is the capital city,:,2,51.15596389770508,0.6509515903670878,functional,"[{""token"": "" primary"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""attribute"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""the"", ""act"": 45.698326110839844}, {""tk"": ""is"", ""act"": 42.4085578918457}, {""tk"": ""of"", ""act"": 41.465484619140625}, {""tk"": ""in"", ""act"": 37.96464157104492}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_40780,0,40780,attribute: The primary city serving as the seat of government for a state is the capital city, is,15,50.90119552612305,0.5946963396573369,functional,"[{""token"": "" capital"", ""index"": 17, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,which,"[{""tk"": ""which"", ""act"": 59.63111114501953}, {""tk"": ""the"", ""act"": 57.446224212646484}, {""tk"": ""is"", ""act"": 50.90119552612305}, {""tk"": ""in"", ""act"": 48.680511474609375}, {""tk"": ""of"", ""act"": 37.325950622558594}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_92029,0,92029,attribute: The primary city serving as the seat of government for a state is the capital city, the,16,28.859010696411133,0.8873805076027549,functional,"[{""token"": "" capital"", ""index"": 17, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 28.859010696411133}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_54572,0,54572,attribute: The primary city serving as the seat of government for a state is the capital city, The,3,26.957427978515625,0.9473684210526316,functional,"[{""token"": "" primary"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 26.957427978515625}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_98149,0,98149,attribute: The primary city serving as the seat of government for a state is the capital city,attribute,1,26.52439308166504,0.8645954358062365,semantic,"[{""token"": ""attribute"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,state,"[{""tk"": ""state"", ""act"": 31.780366897583008}, {""tk"": ""city"", ""act"": 17.828733444213867}, {""tk"": ""serving"", ""act"": 7.715690612792969}, {""tk"": ""government"", ""act"": 4.9040398597717285}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_61562,0,61562,attribute: The primary city serving as the seat of government for a state is the capital city,<bos>,0,25.74254035949707,0.9131535827043256,semantic,"[{""token"": ""<bos>"", ""index"": 0, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,Semantic (unknown),"[{""tk"": ""of"", ""act"": 16.734760284423828}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_44634,0,44634,attribute: The primary city serving as the seat of government for a state is the capital city,<bos>,0,25.62308120727539,0.908054045436108,semantic,"[{""token"": ""<bos>"", ""index"": 0, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,Semantic (unknown),"[{""tk"": ""The"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_19204,0,19204,attribute: The primary city serving as the seat of government for a state is the capital city,<bos>,0,19.4499568939209,0.9473684210526316,semantic,"[{""token"": ""<bos>"", ""index"": 0, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,Semantic (unknown),"[{""tk"": ""The"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
