feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,"entity: A major city in Rhode Island, USA is Warwick", city,5,69.083984375,0.57424454612948,semantic,"[{""token"": "" city"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,government,"[{""tk"": ""government"", ""act"": 73.73577117919922}, {""tk"": ""state"", ""act"": 72.12992095947266}, {""tk"": ""city"", ""act"": 69.083984375}, {""tk"": ""capital"", ""act"": 60.64950942993164}, {""tk"": ""USA"", ""act"": 57.684383392333984}, {""tk"": ""primary"", ""act"": 57.5061149597168}, {""tk"": ""relationship"", ""act"": 51.8544807434082}, {""tk"": ""attribute"", ""act"": 50.58573913574219}, {""tk"": ""Rhode"", ""act"": 47.0228385925293}, {""tk"": ""Island"", ""act"": 46.60879898071289}, {""tk"": ""Warwick"", ""act"": 40.22120666503906}, {""tk"": ""Providence"", ""act"": 38.37044906616211}, {""tk"": ""serving"", ""act"": 31.4293155670166}, {""tk"": ""containing"", ""act"": 27.732948303222656}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}]"
0_18753,0,18753,"entity: A major city in Rhode Island, USA is Warwick",",",9,60.7451171875,0.7322658627966766,functional,"[{""token"": "" USA"", ""index"": 10, ""distance"": 1, ""direction"": ""forward""}, {""token"": "" Island"", ""index"": 8, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,punctuation,"[{""tk"": ""the"", ""act"": 45.698326110839844}, {""tk"": ""is"", ""act"": 43.381141662597656}, {""tk"": ""of"", ""act"": 41.465484619140625}, {""tk"": ""in"", ""act"": 39.97174072265625}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Rhode"", ""act"": 0.0}, {""tk"": ""Island"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Warwick"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""Providence"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_40780,0,40780,"entity: A major city in Rhode Island, USA is Warwick", is,11,50.52901458740234,0.6967245163143081,functional,"[{""token"": "" Warwick"", ""index"": 12, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,which,"[{""tk"": ""which"", ""act"": 59.63111114501953}, {""tk"": ""the"", ""act"": 57.446224212646484}, {""tk"": ""is"", ""act"": 50.90119552612305}, {""tk"": ""in"", ""act"": 48.9953727722168}, {""tk"": ""of"", ""act"": 37.325950622558594}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Rhode"", ""act"": 0.0}, {""tk"": ""Island"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Warwick"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""Providence"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_44634,0,44634,"entity: A major city in Rhode Island, USA is Warwick",entity,1,14.3582763671875,0.9166666666666666,semantic,"[{""token"": ""entity"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,relationship,"[{""tk"": ""relationship"", ""act"": 23.549901962280273}, {""tk"": ""attribute"", ""act"": 19.139753341674805}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Rhode"", ""act"": 0.0}, {""tk"": ""Island"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Warwick"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Providence"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_54149,0,54149,"entity: A major city in Rhode Island, USA is Warwick", Warwick,12,11.664907455444336,0.9166666666666669,semantic,"[{""token"": "" Warwick"", ""index"": 12, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Warwick,"[{""tk"": ""Warwick"", ""act"": 11.664907455444336}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Rhode"", ""act"": 0.0}, {""tk"": ""Island"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Providence"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_19204,0,19204,"entity: A major city in Rhode Island, USA is Warwick",entity,1,0.0,0.0,semantic,"[{""token"": ""entity"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(city) related,"[{""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Rhode"", ""act"": 0.0}, {""tk"": ""Island"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Warwick"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Providence"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_77061,0,77061,"entity: A major city in Rhode Island, USA is Warwick", Rhode,7,16.263504028320312,0.8663322293579273,semantic,"[{""token"": "" Rhode"", ""index"": 7, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Rhode,"[{""tk"": ""Rhode"", ""act"": 16.62928581237793}, {""tk"": ""Warwick"", ""act"": 9.823371887207031}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Island"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Providence"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_47514,0,47514,"entity: A major city in Rhode Island, USA is Warwick", Warwick,12,15.397968292236328,0.9166666666666666,semantic,"[{""token"": "" Warwick"", ""index"": 12, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Warwick,"[{""tk"": ""Warwick"", ""act"": 15.397968292236328}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Rhode"", ""act"": 0.0}, {""tk"": ""Island"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Providence"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_91570,0,91570,"entity: A major city in Rhode Island, USA is Warwick",entity,1,7.781378746032715,0.9166666666666666,semantic,"[{""token"": ""entity"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,attribute,"[{""tk"": ""attribute"", ""act"": 21.15618896484375}, {""tk"": ""relationship"", ""act"": 14.954455375671387}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Rhode"", ""act"": 0.0}, {""tk"": ""Island"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Warwick"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Providence"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_79774,0,79774,"entity: A major city in Rhode Island, USA is Warwick", Warwick,12,14.91706085205078,0.9166666666666669,semantic,"[{""token"": "" Warwick"", ""index"": 12, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Warwick,"[{""tk"": ""Warwick"", ""act"": 14.917060852050781}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Rhode"", ""act"": 0.0}, {""tk"": ""Island"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Providence"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
